time,type
206,3
232,2
258,2
310,3
337,1
362,1
413,0
439,1
465,2
491,3
517,3
543,3
569,3
621,3
647,2
673,2
699,3
725,1
751,1
803,0
829,2
855,3
881,3
907,2
985,1
1011,1
1037,1
1063,1
1089,1
1115,2
1141,3
1193,2
1219,2
1245,2
1271,2
1297,2
1323,3
1349,3
1401,3
1427,2
1453,2
1505,3
1531,1
1557,1
1583,0
1609,2
1635,3
1661,3
1687,0
1791,3
1817,2
1843,2
1895,3
1921,1
1947,1
1973,0
1999,1
2025,2
2051,3
2077,3
2103,3
2129,3
2181,3
2207,2
2233,2
2259,3
2285,1
2311,1
2363,0
2389,2
2415,3
2441,3
2467,2
2571,1
2597,1
2623,1
2649,1
2675,1
2701,2
2727,3
2779,2
2805,2
2831,2
2857,2
2883,2
2909,3
2935,3
2961,3
2987,2
3013,2
3065,3
3091,1
3117,1
3169,0
3195,2
3221,3
3247,3
3273,0
