time,type
401,0
421,3
444,1
469,2
492,3
512,3
531,1
556,3
579,3
599,0
621,2
646,2
661,0
684,3
708,3
734,0
752,2
776,2
804,1
824,3
846,3
866,2
889,3
912,0
935,0
958,2
982,0
1000,0
1021,3
1047,0
1065,0
1089,2
1105,1
1128,0
1151,1
1174,3
1199,2
1222,0
1245,0
1268,3
1288,1
1310,3
1332,3
1356,1
1375,3
1399,1
1423,3
1445,0
1465,0
1489,2
1512,1
1532,1
1559,3
1578,3
1603,0
1623,3
1646,1
1668,1
1688,3
1710,0
1734,0
1756,0
1775,1
1800,0
1819,2
1842,3
1865,1
1885,3
1908,2
1930,1
1953,3
1973,1
1996,0
2016,2
2041,3
2060,1
2079,2
2102,3
2125,2
2151,2
2171,1
2191,3
2215,3
2233,0
2256,3
2276,3
2296,1
2319,2
2341,0
2369,0
2393,0
2412,1
2432,3
2454,2
2477,2
2505,0
2529,3
2561,1
2579,2
2602,0
2622,3
2642,1
2658,2
2681,3
2706,0
2731,0
2752,1
2772,2
2800,3
2823,3
2846,1
2869,3
2893,3
2911,0
2935,3
2954,3
2974,1
2997,3
3022,3
3044,0
3068,0
3091,3
3114,3
3138,1
3157,2
3177,3
3202,3
3221,1
3404,2
3423,1
3447,3
3466,0
3489,0
3509,2
3529,3
3557,1
3575,1
3596,3
3621,3
3644,3
3664,0
3686,0
3710,2
3733,2
3755,1
3780,1
3798,3
3818,3
3840,3
3867,0
3890,0
3910,2
3933,1
3956,0
3979,0
4000,1
4022,1
4042,0
4065,0
4087,1
4107,2
4131,3
4155,3
4173,2
4194,2
4220,3
4239,3
4263,0
4286,1
4309,2
4331,1
4354,0
4378,3
4401,3
4422,1
4445,1
4464,3
4487,0
4510,0
4531,1
4551,2
4574,0
4597,0
4620,3
4638,1
4662,3
4683,3
4706,2
4729,2
4756,1
4776,1
4796,3
4816,3
4840,0
4862,2
4881,1
4908,3
4928,0
4951,2
4974,2
4995,0
5018,2
5046,1
5070,2
5088,0
5104,3
5132,1
5150,2
5169,2
5189,0
5215,0
5237,3
5256,3
5281,1
5304,2
5324,0
5344,0
5370,3
5395,3
5421,3
5445,3
5464,1
5484,1
5504,1
5526,1
5547,2
5568,2
5591,2
5619,0
5643,0
5664,3
5688,3
5708,3
5728,1
5751,3
5779,3
5799,3
5817,0
5840,0
